"collection_name","article_id","title","doi","tags","thumbnail_file"
"Groundwater","7952267","Handpump and Well","https://doi.org/10.17028/rd.lboro.7952267.v1","Technical illustration and graphics","7952267_thumbnail.jpg"
"Groundwater","7959314","The rope and washer pump with well-head 1","https://doi.org/10.17028/rd.lboro.7959314.v1","Technical illustration and graphics","7959314_thumbnail.jpg"
"Groundwater","7959305","The rope and washer pump with well-head 2","https://doi.org/10.17028/rd.lboro.7959305.v1","Technical illustration and graphics","7959305_thumbnail.jpg"
"Groundwater","8059328","Roller bars on a well to protect ropes from abrasion - colour","https://doi.org/10.17028/rd.lboro.8059328.v1","Technical illustration and graphics","8059328_thumbnail.jpg"
"Groundwater","8059283","Improvements to a simple well","https://doi.org/10.17028/rd.lboro.8059283.v1","Technical illustration and graphics","8059283_thumbnail.jpg"
"Groundwater","8059280","Improvement to simple wells","https://doi.org/10.17028/rd.lboro.8059280.v1","Technical illustration and graphics","8059280_thumbnail.jpg"
"Groundwater","8059244","Buried well","https://doi.org/10.17028/rd.lboro.8059244.v1","Technical illustration and graphics","8059244_thumbnail.jpg"
"Groundwater","8059271","Upgraded well with handpump","https://doi.org/10.17028/rd.lboro.8059271.v1","Technical illustration and graphics","8059271_thumbnail.jpg"
"Groundwater","8059202","Well excavation supported by the modified Chicago method","https://doi.org/10.17028/rd.lboro.8059202.v1","Technical illustration and graphics","8059202_thumbnail.jpg"
"Groundwater","8059241","Backfilled well","https://doi.org/10.17028/rd.lboro.8059241.v1","Technical illustration and graphics","8059241_thumbnail.jpg"
"Groundwater","8059187","Rope and washer pump being used for de-watering a well excavation","https://doi.org/10.17028/rd.lboro.8059187.v1","Technical illustration and graphics","8059187_thumbnail.jpg"
"Groundwater","8059190","Suggested digging techniques for hand-dug wells in different strata","https://doi.org/10.17028/rd.lboro.8059190.v1","Technical illustration and graphics","8059190_thumbnail.jpg"
"Groundwater","8059163","Cross-section of upgraded well with handpump","https://doi.org/10.17028/rd.lboro.8059163.v1","Technical illustration and graphics","8059163_thumbnail.jpg"
"Groundwater","8059157","Cross-section of upgraded well","https://doi.org/10.17028/rd.lboro.8059157.v1","Technical illustration and graphics","8059157_thumbnail.jpg"
"Groundwater","8059178","Handpump being used for de-watering a well excavation","https://doi.org/10.17028/rd.lboro.8059178.v1","Technical illustration and graphics","8059178_thumbnail.jpg"
"Groundwater","8059175","Good features of open wells","https://doi.org/10.17028/rd.lboro.8059175.v1","Technical illustration and graphics","8059175_thumbnail.jpg"
"Groundwater","8059139","Well with windlass and bucket and cover v1","https://doi.org/10.17028/rd.lboro.8059139.v1","Technical illustration and graphics","8059139_thumbnail.jpg"
"Groundwater","8059142","Well with windlass and bucket and cover v2","https://doi.org/10.17028/rd.lboro.8059142.v1","Technical illustration and graphics","8059142_thumbnail.jpg"
"Groundwater","8059145","Protected well with double bucket system - colour","https://doi.org/10.17028/rd.lboro.8059145.v1","Technical illustration and graphics","8059145_thumbnail.jpg"
"Groundwater","8059124","Well with low section of wall - colour","https://doi.org/10.17028/rd.lboro.8059124.v1","Technical illustration and graphics","8059124_thumbnail.jpg"
"Groundwater","8059130","Cross-section of a gravity well","https://doi.org/10.17028/rd.lboro.8059130.v1","Technical illustration and graphics","8059130_thumbnail.jpg"
"Groundwater","8059127","Steps for disinfection of wells","https://doi.org/10.17028/rd.lboro.8059127.v1","Technical illustration and graphics","8059127_thumbnail.jpg"
"Groundwater","8059097","Well with submersible pump","https://doi.org/10.17028/rd.lboro.8059097.v1","Technical illustration and graphics","8059097_thumbnail.jpg"
"Groundwater","8059121","Distance of well from a river","https://doi.org/10.17028/rd.lboro.8059121.v1","Technical illustration and graphics","8059121_thumbnail.jpg"
"Groundwater","8059118","Distance from well to septic tank","https://doi.org/10.17028/rd.lboro.8059118.v1","Technical illustration and graphics","8059118_thumbnail.jpg"
"Groundwater","8059088","Well dimensions 1","https://doi.org/10.17028/rd.lboro.8059088.v1","Technical illustration and graphics","8059088_thumbnail.jpg"
"Groundwater","8059091","Tank and well","https://doi.org/10.17028/rd.lboro.8059091.v1","Technical illustration and graphics","8059091_thumbnail.jpg"
"Groundwater","8059094","Well dimensions 2","https://doi.org/10.17028/rd.lboro.8059094.v1","Technical illustration and graphics","8059094_thumbnail.jpg"
"Groundwater","7798976","A straight-sided well","https://doi.org/10.17028/rd.lboro.7798976.v1","Line drawings","7798976_thumbnail.jpg"
"Groundwater","7798991","Drawing water from a protected well","https://doi.org/10.17028/rd.lboro.7798991.v1","Line drawings","7798991_thumbnail.jpg"
"Groundwater","7765076","Well head and surround - in good condition","https://doi.org/10.17028/rd.lboro.7765076.v1","Line drawings","7765076_thumbnail.jpg"
"Groundwater","7765073","Well head and surround - damaged","https://doi.org/10.17028/rd.lboro.7765073.v1","Line drawings","7765073_thumbnail.jpg"
"Groundwater","7799018","Steep approach to a well","https://doi.org/10.17028/rd.lboro.7799018.v1","Line drawings","7799018_thumbnail.jpg"
"Groundwater","7799021","Upgraded well","https://doi.org/10.17028/rd.lboro.7799021.v1","Line drawings","7799021_thumbnail.jpg"
"Groundwater","7799024","Well inspection","https://doi.org/10.17028/rd.lboro.7799024.v1","Line drawings","7799024_thumbnail.jpg"
"Groundwater","7799027","Women drawing water from a well","https://doi.org/10.17028/rd.lboro.7799027.v1","Line drawings","7799027_thumbnail.jpg"
"Groundwater","7799003","Open well 1","https://doi.org/10.17028/rd.lboro.7799003.v1","Line drawings","7799003_thumbnail.jpg"
"Groundwater","7799009","Open well 2","https://doi.org/10.17028/rd.lboro.7799009.v1","Line drawings","7799009_thumbnail.jpg"
"Groundwater","7799012","Prefabricated well lining","https://doi.org/10.17028/rd.lboro.7799012.v1","Line drawings","7799012_thumbnail.jpg"
"Groundwater","7799015","Reaching over the wall of a well","https://doi.org/10.17028/rd.lboro.7799015.v1","Line drawings","7799015_thumbnail.jpg"
"Groundwater","7798997","Drawing water from a well 2","https://doi.org/10.17028/rd.lboro.7798997.v1","Line drawings","7798997_thumbnail.jpg"
"Groundwater","7798994","Drawing water from a well 1","https://doi.org/10.17028/rd.lboro.7798994.v1","Line drawings","7798994_thumbnail.jpg"
"Groundwater","7799000","Girl turning a well handle","https://doi.org/10.17028/rd.lboro.7799000.v1","Line drawings","7799000_thumbnail.jpg"
"Groundwater","7798979","Community building a well","https://doi.org/10.17028/rd.lboro.7798979.v1","Line drawings","7798979_thumbnail.jpg"
"Groundwater","7798982","Community well – deciding the height","https://doi.org/10.17028/rd.lboro.7798982.v1","Line drawings","7798982_thumbnail.jpg"
"Groundwater","7798985","Damaged well","https://doi.org/10.17028/rd.lboro.7798985.v1","Line drawings","7798985_thumbnail.jpg"
"Groundwater","7746464","Depth distance and concentration variation in groundwater","https://doi.org/10.17028/rd.lboro.7746464.v1","Technical illustration and graphics","7746464_thumbnail.jpg"
"Groundwater","7688150","Horizontal well - driven spring","https://doi.org/10.17028/rd.lboro.7688150.v1","Technical illustration and graphics","7688150_thumbnail.jpg"
