"collection_name","title","year","doi"
"Apron slabs","Twin pit latrine under construction with slabs in place",2018,"https://doi.org/10.17028/rd.lboro.7461239.v1"
"Apron slabs","Three men rolling a latrine slab",2018,"https://doi.org/10.17028/rd.lboro.7461224.v1"
"Apron slabs","VIP latrine with slab – under construction",2018,"https://doi.org/10.17028/rd.lboro.7461227.v1"
"Apron slabs","Four men test the strength of a latrine slab",2018,"https://doi.org/10.17028/rd.lboro.7461203.v1"
"Apron slabs","Drainage trench with concrete slabs",2018,"https://doi.org/10.17028/rd.lboro.7314707.v1"
"Apron slabs","Mixing concrete",2018,"https://doi.org/10.17028/rd.lboro.7048901.v1"
"Apron slabs","Problems with thermal cracking around a handpump compound",2018,"https://doi.org/10.17028/rd.lboro.7048910.v1"
"Apron slabs","Handpump with jerrycan",2018,"https://doi.org/10.17028/rd.lboro.7048895.v1"
"Apron slabs","Preventing erosion at the base of a concrete slab",2018,"https://doi.org/10.17028/rd.lboro.7048904.v1"
"Apron slabs","Handpump protected by a fence with apron and channel",2018,"https://doi.org/10.17028/rd.lboro.7048898.v1"
"Apron slabs","Handpump and apron 7",2018,"https://doi.org/10.17028/rd.lboro.7049210.v1"
"Apron slabs","Well with windlass",2018,"https://doi.org/10.17028/rd.lboro.7049213.v1"
"Apron slabs","Handpump and apron 6",2018,"https://doi.org/10.17028/rd.lboro.7049207.v1"
"Apron slabs","Typical apron slab and channel drain",2018,"https://doi.org/10.17028/rd.lboro.7049237.v1"
"Apron slabs","Handpump and apron 2",2018,"https://doi.org/10.17028/rd.lboro.7049195.v1"
"Apron slabs","Handpump and apron 4",2018,"https://doi.org/10.17028/rd.lboro.7049201.v1"
"Apron slabs","Handpump and apron 1",2018,"https://doi.org/10.17028/rd.lboro.7049198.v1"
"Apron slabs","Handpump and apron 5",2018,"https://doi.org/10.17028/rd.lboro.7049204.v1"
"Apron slabs","Hygienic arrangement at a well-head for a rope and washer pump",2018,"https://doi.org/10.17028/rd.lboro.7049228.v1"
"Apron slabs","Recommended installation details for the Afridev pumpstand",2018,"https://doi.org/10.17028/rd.lboro.7049231.v1"
"Apron slabs","Soakage systems for disposal of wasted water",2018,"https://doi.org/10.17028/rd.lboro.7049234.v1"
"Apron slabs","Blair bucket in use",2018,"https://doi.org/10.17028/rd.lboro.7049219.v1"
"Apron slabs","Section through a soakaway and apron slab",2018,"https://doi.org/10.17028/rd.lboro.7049225.v1"
"Apron slabs","Handpump and apron 3",2018,"https://doi.org/10.17028/rd.lboro.7049258.v1"
"Apron slabs","Installation details of India Mark III deep well pump",2018,"https://doi.org/10.17028/rd.lboro.7049222.v1"
"Apron slabs","Woman at a well",2018,"https://doi.org/10.17028/rd.lboro.7049216.v1"
"Apron slabs","Handpump with apron channel and fence",2018,"https://doi.org/10.17028/rd.lboro.7048907.v1"
"Apron slabs","Handpump in a protected compound with apron and channel",2018,"https://doi.org/10.17028/rd.lboro.7048799.v1"
